,Timestamp,Open,High,Low,Close,Volume,Slope,Regime,Vol_Rate,signal,Price_Acc,Slope_Mom,exit,Slope_Decay,pair,window
1970-01-01 00:00:00.000000007,2020-12-17 18:00:00,23027.93,23520.0,22349.97,22815.4,124223.209,214.44833333333358,Trend,1.1479651429000925,0,,,0,,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000008,2020-12-17 21:00:00,22815.37,23100.0,22400.1,22816.99,51675.179,112.14511904761937,Trend,0.5020445084572049,0,,-102.3032142857142,1,-0.477052969801805,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000009,2020-12-18 00:00:00,22816.99,23277.99,22475.47,23033.26,48943.379,55.087380952381125,Range,0.4942584350202612,0,214.67999999999665,-57.05773809523825,0,-0.5087848546579208,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000010,2020-12-18 03:00:00,23036.1,23072.89,22781.77,22980.0,27740.879,7.560119047619039,Range,0.29863058907210194,0,-269.5299999999952,-47.527261904762085,1,-0.8627613272420014,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000011,2020-12-18 06:00:00,22980.0,23330.0,22858.0,23147.49,41402.614,24.06833333333348,Range,0.4972309661742731,0,220.75,16.50821428571444,-1,2.183591843161979,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000012,2020-12-18 09:00:00,23147.49,23257.48,22738.07,22910.0,41183.763,0.07166666666662855,Range,0.6369070949112092,0,-404.9800000000032,-23.99666666666685,1,-0.9970223668721019,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000013,2020-12-18 12:00:00,22910.0,23105.97,22430.0,22627.47,54326.454,-16.510357142857174,Range,0.9042372547196218,0,-45.039999999997235,-16.582023809523804,1,-231.3770764120831,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000014,2020-12-18 15:00:00,22626.53,22829.0,22363.94,22764.01,42207.24,-17.97166666666687,Range,0.7821537986753047,0,419.06999999999607,-1.461309523809696,-1,0.08850865618263737,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000015,2020-12-18 18:00:00,22764.02,22843.47,22633.88,22764.68,17891.814,-35.803571428571516,Range,0.4399112715901864,0,-135.86999999999534,-17.831904761904646,-1,0.9922232084895359,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000016,2020-12-18 21:00:00,22764.27,23164.42,22763.24,23124.35,32301.079,-22.28500000000007,Range,0.8444803201514032,0,358.99999999999636,13.518571428571445,-1,-0.37757605985037357,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000017,2020-12-19 00:00:00,23124.35,23253.52,22906.44,23245.99,24298.176,17.2239285714285,Range,0.6908975051641623,0,-238.0299999999952,39.50892857142857,-1,-1.772893361966724,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000018,2020-12-19 03:00:00,23245.0,23256.86,22940.0,22981.53,20636.128,23.923095238095033,Trend,0.6019714442515431,0,-386.1000000000058,6.699166666666532,-1,0.3889453349092078,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000019,2020-12-19 06:00:00,22981.53,23066.66,22735.81,23010.8,33423.345,50.97035714285704,Trend,1.0042016352103957,1,293.7300000000032,27.047261904762006,-1,1.1305920757984556,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000020,2020-12-19 09:00:00,23009.53,23111.0,22900.91,22907.99,16905.519,47.25928571428579,Trend,0.5588837924150962,0,-132.0799999999981,-3.711071428571252,1,-0.07280842506498542,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000021,2020-12-19 12:00:00,22908.19,23683.55,22908.19,23323.05,61815.047,47.913333333333476,Trend,1.9822176151334785,1,517.8699999999953,0.654047619047688,-1,0.013839557859630869,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000022,2020-12-19 15:00:00,23323.05,24281.61,23287.12,23936.02,122037.092,97.7160714285715,Trend,2.9646900259392264,1,197.9100000000035,49.80273809523802,-1,1.0394337991214249,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000023,2020-12-19 18:00:00,23939.58,23961.04,23611.23,23927.77,34308.66,118.99809523809537,Trend,0.7938946951503191,0,-621.2200000000012,21.282023809523878,-1,0.21779450911594012,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000024,2020-12-19 21:00:00,23927.76,24110.61,23749.99,23847.28,24111.471,144.4160714285713,Trend,0.5714711591261122,0,-72.2400000000016,25.41797619047594,-1,0.21359985754073452,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000025,2020-12-20 00:00:00,23847.28,23863.1,23235.1,23457.45,45590.771,133.1684523809525,Trend,1.0164372191065685,0,-309.3399999999965,-11.247619047618826,1,-0.07788343039910162,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000026,2020-12-20 03:00:00,23457.45,23612.99,23100.0,23500.61,34740.32,92.14773809523814,Trend,0.7452361082499641,0,432.98999999999796,-41.02071428571435,-1,-0.30803627700325875,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000027,2020-12-20 06:00:00,23500.61,23826.02,23430.22,23727.07,27011.233,60.775714285714194,Trend,0.589571639687888,0,183.29999999999927,-31.372023809523945,-1,-0.34045354186664667,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000028,2020-12-20 09:00:00,23727.08,23777.0,23382.0,23575.2,30645.555,-11.321547619047513,Range,0.6447281963275094,0,-378.3299999999981,-72.09726190476171,0,-1.1862840733689037,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000029,2020-12-20 12:00:00,23575.17,23695.31,23312.0,23557.51,29758.705,-56.308214285714406,Range,0.6837077459064083,0,134.17999999999665,-44.98666666666689,-1,3.973543916467813,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000030,2020-12-20 15:00:00,23557.52,23950.0,23543.86,23751.6,34364.207,-25.027738095238288,Range,1.0552054776822233,0,211.78000000000247,31.28047619047612,-1,-0.5555224328684152,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000031,2020-12-20 18:00:00,23751.61,24376.0,23680.0,24211.54,40389.06,48.088095238095214,Range,1.2119233255968027,0,265.8500000000022,73.1158333333335,-1,-2.9213919793752487,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000032,2020-12-20 21:00:00,24211.53,24246.25,23076.25,23472.96,79789.923,44.27523809523791,Range,1.9805759769467586,0,-1198.520000000004,-3.812857142857304,1,-0.0792890033173278,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000033,2020-12-21 00:00:00,23472.96,23912.64,23305.61,23869.43,30901.107,40.64642857142852,Range,0.8036695955667896,0,1135.050000000003,-3.6288095238093874,-1,-0.08196024866097085,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000034,2020-12-21 03:00:00,23869.43,24145.0,23662.82,23934.85,43957.822,37.28452380952374,Range,1.1099843022615803,0,-331.0500000000029,-3.361904761904782,1,-0.08271095100020565,BTCUSDT_2020-2025_trend_following,1
1970-01-01 00:00:00.000000035,2020-12-21 06:00:00,23935.28,24108.0,23650.0,23677.63,43195.053,26.412142857142932,Range,1.0377145285068925,0,-322.6399999999958,-10.872380952380809,1,-0.29160573453813643,BTCUSDT_2020-2025_trend_following,1
