Timestamp,Open,High,Low,Close,Volume
2020-01-01 00:00:00,7189.43,7239.3,7170.15,7237.99,9542.452
2020-01-01 03:00:00,7237.41,7239.74,7211.22,7220.31,4618.194
2020-01-01 06:00:00,7220.31,7230.0,7174.0,7195.24,7018.813
2020-01-01 09:00:00,7195.23,7234.57,7181.43,7192.65,6650.9439999999995
2020-01-01 12:00:00,7192.74,7228.47,7191.79,7216.8,6792.278
2020-01-01 15:00:00,7216.8,7260.43,7210.81,7233.8,9149.867
2020-01-01 18:00:00,7233.87,7242.0,7222.0,7233.3,4332.779
2020-01-01 21:00:00,7233.32,7238.79,7174.0,7197.57,8696.002
2020-01-02 00:00:00,7197.57,7209.59,7155.0,7166.56,8492.057
2020-01-02 03:00:00,7166.92,7166.92,7112.06,7135.44,11985.277
2020-01-02 06:00:00,7135.44,7153.26,7101.0,7148.56,13646.327
2020-01-02 09:00:00,7148.56,7175.0,7133.04,7136.24,10202.411
2020-01-02 12:00:00,7136.36,7160.0,7103.0,7131.0,13843.328
2020-01-02 15:00:00,7131.0,7146.85,6922.0,6966.86,37242.63
2020-01-02 18:00:00,6966.99,6991.0,6938.36,6944.95,13508.179
2020-01-02 21:00:00,6944.95,6982.83,6944.43,6962.04,6375.468
2020-01-03 00:00:00,6962.34,6962.8,6863.44,6952.58,20865.57
2020-01-03 03:00:00,6952.59,7300.0,6935.74,7215.59,44434.25
2020-01-03 06:00:00,7214.42,7300.0,7182.42,7258.0,22621.282
2020-01-03 09:00:00,7257.99,7368.33,7254.74,7338.11,32070.847
2020-01-03 12:00:00,7338.4,7379.0,7229.0,7252.7,23913.708
2020-01-03 15:00:00,7252.72,7407.28,7250.0,7352.9,30553.949
2020-01-03 18:00:00,7352.88,7368.22,7276.35,7315.05,17555.006
2020-01-03 21:00:00,7315.05,7342.0,7255.84,7341.72,16478.846
2020-01-04 00:00:00,7341.6,7347.02,7279.0,7324.13,8334.04
2020-01-04 03:00:00,7324.13,7368.47,7310.0,7341.0,8820.949
2020-01-04 06:00:00,7341.0,7362.15,7322.45,7343.0,9720.728
2020-01-04 09:00:00,7343.0,7366.0,7295.2,7333.07,11785.86
2020-01-04 12:00:00,7333.07,7333.54,7286.16,7312.96,10107.266
2020-01-04 15:00:00,7312.64,7349.25,7294.14,7349.04,9370.513
2020-01-04 18:00:00,7349.04,7400.0,7269.21,7338.47,27605.083
2020-01-04 21:00:00,7338.36,7362.87,7324.65,7350.71,6841.594
2020-01-05 00:00:00,7350.54,7488.0,7350.54,7443.33,30643.389
2020-01-05 03:00:00,7443.33,7495.0,7438.88,7457.48,11101.402
